"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Botswana","BWA","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.83","62.16","65.31","63.96","61.95","63.05","60.17","60.63","63.7","64.85","65.11","64.78","65.37","64.14","61.07","62.14","61.88","61.4","62.25","58.12","60.34","57.75","61.95","64.9","70.76","70.88","68.77","70.97","73.75","70.69","64.25","66.27","66.7","","",
"Central African Republic","CAF","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.52","72.2","73.34","72.49","71.63","72.45","73.15","74.68","75.83","75.57","76.53","76.61","75.72","76.96","75.41","75.42","75.56","75.74","75.02","74.97","75.34","74.87","74.87","73.62","73.74","74.67","75.63","76.04","76.23","76.66","75.77","76.34","76.91","76.78","",
"Central Europe and the Baltics","CEB","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.2533050503207","88.7439905576003","88.5218342482639","87.6597190815853","86.966547169346","86.7928836368446","86.35280843859","85.7168748087404","85.4516827217712","85.160673086187","84.7425521581851","84.6757261138138","83.9113113724698","83.9507514192333","83.267906992603","83.18497664384","83.3917407186332","83.0688831262322","81.7059852500427","79.8839125814673","80.2549198509236","80.0957632101564","78.5667277580561","77.7076786589043","76.2453637707573","79.3637383740291","","","","","","","","","",
"Switzerland","CHE","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.65","58.86","58.88","57.73","57.72","56.17","56.37","57.41","57.11","56.03","54.58","56.27","54.71","54.05","54.24","55.77","54.12","51.79","52.85","53.62","52.01","50.84","51.43","52.66","49.28","50.85","50.32","50.57","47.49","47.91","47.41","48.3","45.34","44.47","",
"Channel Islands","CHI","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.15","68.04","66.35","68.07","69.82","70.01","72.39","74.65","75.53","77.16","74.51","73.11","73.2","74.56","75.18","74.24","74.01","76.02","75.18","73.47","77.6","76.67","70.05","68.5","72.36","72.75","72.89","72.17","71.24","72.6","70.95","70.71","70.08","66.66","",
"China","CHN","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.79","74.83","75.43","76.47","77.04","78.43","78.98","78.88","79.09","79.54","80.27","81.13","82.18","84.48","86.33","87.59","88.51","89.53","89.74","90.33","90.99","91.59","91.28","91.1","90.54","89.94","89.1","88.6","88.16","87.69","87.45","87.16","86.72","","",
"Cote d'Ivoire","CIV","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.7","23.32","27.59","28.55","28.24","25.15","32.02","32.11","30.83","40.89","37.13","34.3","37.85","32.5","24.93","25.39","21.45","24.25","24.62","22.72","28.41","25.67","30.05","33.76","32.32","35.04","36.82","39.67","41.32","39.01","38.97","35.9","37.58","","",
"Cameroon","CMR","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.71","17.39","16.11","16.65","16.9","16.07","15.69","16.04","16.25","14.55","16.2","15.42","15.3","16.1","16.12","14.78","16.96","28.76","27.5","30.74","31","29.09","26.25","25.31","26.99","27.8","27.02","25.51","25.64","24.63","24.88","23.51","22.89","","",
