"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.18974164042302","5.08596440278844","5.03690250025999","4.81110625540256","4.68978351157181","4.68022482038255","4.81443630772627","4.89460607561859","4.93503933582666","5.00554362985881","5.28777915967845","5.46923382431262","5.69380010832163","5.51047183416288","5.54747583437894","5.90072087414653","6.10055225488044","6.2527454928945","6.1960579940426","6.07135451979103","6.5492160939511","6.56853265819804","6.71086514444301","6.78734513990824","6.80053883939537","6.97795578685301","6.98820128624641","7.11251936670664","7.27348889775215","7.21270701333299","7.10792740805267","7.15665775674511","7.30397036319211","","",
"Afghanistan","AFG","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.7099406840541","11.2587038539712","11.0400260093141","10.6921318845297","11.1474392479339","11.1905081976515","11.0295572582013","10.9660292493338","11.2359292403667","10.9371453386496","11.5247085865874","11.6350086578102","12.2645054816883","12.383864088621","12.7397960004082","12.6772119980472","13.3717545848611","13.8165129908456","14.0418945193777","15.0617409597589","13.7496179621697","13.1370095258377","13.6804485242377","13.9907352805559","14.5041015645924","15.2923621266526","14.6014641903522","15.0486845987225","15.4185092777266","14.8109609517475","14.5499698571556","14.2232991018303","14.3475380491272","","",
"Angola","AGO","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.605351353235","14.4051513146784","13.4889012415399","9.90072574535752","9.89803454090034","11.4699165868852","12.7233604745198","13.4192593100783","14.1641957420582","13.861764043276","14.0183824234681","14.1137903389578","15.4753217243068","14.8144121110605","16.3162505516082","19.9865856824409","19.9462435124798","20.7345298362491","21.0075350176462","19.0703725059982","19.8506359750867","19.7990958223823","18.9204070620785","19.8251637810573","22.9237519988465","19.2858815382023","20.2659333323283","19.799148711457","21.2750380494742","19.8431939350704","19.0048722831757","17.7075828697262","17.4830837868441","","",
"Albania","ALB","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.55612514092726","6.74381914497264","8.62297084161187","9.64158985999828","9.81615488386859","11.8453701313278","12.1094057041399","12.6400525220521","12.4731749311698","10.4827057473139","11.1971399587744","11.8952526102349","11.2857932378864","12.1708851302164","11.6853933903715","12.3178859507675","13.3720747370211","14.8446583577441","15.3733980964895","15.5220953727209","16.2440916332166","15.9218444867374","17.9799764204993","15.6165376301961","15.7858877318251","17.2146369558098","17.2747907219167","17.1142630077128","17.8736917791821","18.4530701771005","19.2447613321257","19.9106507163555","21.9189719868084","","",
"Andorra","AND","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.5034564000211","9.9883162557048","9.61763132055887","9.3065842648387","9.06856663528607","9.12420185237665","9.2524794001822","9.37566403645545","9.70031817478943","9.92728974983075","10.111792632544","9.53774929287139","9.16955192784768","9.35562331999048","9.78048009430674","9.60408331774517","9.68219691514594","9.69471898975912","9.57365614017403","9.23805699387145","9.14811477730168","9.25644053406507","9.14538477455906","9.24317944962875","8.94577877638871","8.99255256622385","9.11713758092199","9.05527233752851","9.32960416616949","9.45729077717605","9.53530140933172","9.39293340820492","9.51070739861198","","",
"United Arab Emirates","ARE","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.0603875553671","8.8193055161683","9.57128183458103","9.21519024821771","8.89233123194008","8.92641154604662","8.93886102731976","9.16768141509043","8.98521930159234","9.07637652101915","10.3324498048404","7.52312465775074","7.81056832508823","8.62690680899477","9.57396106049936","9.43722292905135","9.96208784190487","9.47174587643189","8.26333012948979","7.31188897039858","7.69192716335686","8.25665934130522","8.02849678619802","7.88046998907726","7.20502394377937","6.92214898323294","6.81509036268671","8.082472024625","8.11748513380902","7.81350554997971","8.06743066092555","7.77027461299296","8.26168416381747","","",
"Argentina","ARG","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.5841666147461","13.2061735064436","13.8396971311064","14.5129388940928","14.1858550395442","13.813376470827","14.1423057509502","14.7838716518369","14.4305074782259","13.6274642194452","13.558749079685","13.8735846172875","12.5124569476107","12.5899105941986","12.4024004726942","13.5844267707113","13.9445160033683","14.5459979589778","14.6386948831335","14.9454575062251","15.3644422422099","15.775710097913","15.1906709644075","15.1552575089064","14.7523333205872","14.9337558649021","14.7111192550916","15.113322095824","15.1469310721001","14.9821801811851","14.7010543924353","15.1007596171477","15.2725188017495","","",
